id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
13;Arte Público;Cultura y Ocio;P3M;2019-10-23;S;sí;geo=S;sí;periodicidad P3M, palabra:históric;no (ratio 27,9);sí;Cultura: Arte en la via publica;api;patrimonio subvenci;sí;no;no
67;Incidencias en la Vía Pública;Transporte;P0DT1S;2018-05-03;S;sí;geo=S;sí;tiempo real;no evaluable (tiempo real);sí;Equipamientos y movilidad: Incidencias en la Via Publica;api solr;;sí;sí;no
87;Farmacias;Salud;P1Y;2022-06-16;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 4,2);sí;Equipamientos y movilidad: Farmacias;api;equipamiento;sí;sí;no
24;Indicadores Sostenibilidad;Medio Ambiente;P1Y;2013-04-29;N;no;;sí;periodicidad P1Y;no (ratio 13,4);sí;;json text/csv text/xml;;sí;no;no
27;Mapa Estratégico de Ruido de Zaragoza;Medio Ambiente;P5Y;2010-11-17;S;sí;geo=S, palabra:mapa, spatialRepresentationTypeCode;sí;periodicidad P5Y, palabra:2002;no (ratio 3,2);no;;;;sí;no;no
28;Calidad del Agua;Medio Ambiente;P1M;2019-10-23;S;sí;geo=S;sí;periodicidad P1M;no (ratio 83,6);sí;Medio Ambiente: Calidad del Agua;api;;sí;no;no
69;Alojamientos;Turismo;-;2015-02-09;S;sí;geo=S;no;;no (4226 d, sin periodicidad);sí;Turismo: Alojamientos;api solr sparql-query;;sí;no;no
132;Censo de Asociaciones;Sociedad y Bienestar;P0DT1S;-;N;no;;sí;tiempo real;no evaluable (sin modified);sí;Gobierno abierto: Censo de Asociaciones;api solr;;sí;no;no
33;Puntos Limpios;Medio Ambiente;P1Y;2023-10-26;S;sí;geo=S, formato geo;sí;periodicidad P1Y;no (ratio 2,9);no;;text/xml+georss;equipamiento;sí;no;no
23;Puntos de interés;Urbanismo e Infraestructuras;-;-;S;sí;geo=S;no;;no evaluable (sin modified);sí;Puntos de interes de la ciudad;api sparql-query;;sí;no;no
